fecha,provincia,producto,media,n
2026-07-12,Pontevedra,glp,1.1108,18
2026-07-12,Rioja (La),gasoleo_a,1.5406,83
2026-07-12,Rioja (La),gasoleo_premium,1.6582,39
2026-07-12,Rioja (La),gasolina_95_e5,1.5402,80
2026-07-12,Rioja (La),gasolina_98_e5,1.7232,36
2026-07-12,Rioja (La),glp,1.1358,5
2026-07-12,Salamanca,gasoleo_a,1.5708,110
2026-07-12,Salamanca,gasoleo_premium,1.6938,65
2026-07-12,Salamanca,gasolina_95_e5,1.5514,106
2026-07-12,Salamanca,gasolina_98_e5,1.7456,52
2026-07-12,Salamanca,glp,1.1192,8
2026-07-12,Santa Cruz De Tenerife,gasoleo_a,1.4721,235
2026-07-12,Santa Cruz De Tenerife,gasoleo_premium,1.5906,127
2026-07-12,Santa Cruz De Tenerife,gasolina_95_e5,1.4199,236
2026-07-12,Santa Cruz De Tenerife,gasolina_98_e5,1.542,222
2026-07-12,Santa Cruz De Tenerife,glp,0.9259,10
2026-07-12,Segovia,gasoleo_a,1.5835,76
2026-07-12,Segovia,gasoleo_premium,1.6701,43
2026-07-12,Segovia,gasolina_95_e5,1.5725,75
2026-07-12,Segovia,gasolina_98_e5,1.7618,37
2026-07-12,Segovia,glp,1.1202,4
2026-07-12,Sevilla,gasoleo_a,1.5682,441
2026-07-12,Sevilla,gasoleo_premium,1.677,235
2026-07-12,Sevilla,gasolina_95_e5,1.5343,434
2026-07-12,Sevilla,gasolina_98_e5,1.7406,147
2026-07-12,Sevilla,glp,1.0236,37
2026-07-12,Soria,gasoleo_a,1.5292,41
2026-07-12,Soria,gasoleo_premium,1.602,20
2026-07-12,Soria,gasolina_95_e5,1.5239,42
2026-07-12,Soria,gasolina_98_e5,1.725,17
2026-07-12,Soria,glp,1.0232,5
2026-07-12,Tarragona,gasoleo_a,1.5259,228
2026-07-12,Tarragona,gasoleo_premium,1.6464,124
2026-07-12,Tarragona,gasolina_95_e5,1.5357,216
2026-07-12,Tarragona,gasolina_98_e5,1.7275,123
2026-07-12,Tarragona,glp,1.0296,28
2026-07-12,Teruel,gasoleo_a,1.5539,69
2026-07-12,Teruel,gasoleo_premium,1.6895,33
2026-07-12,Teruel,gasolina_95_e5,1.5509,64
2026-07-12,Teruel,gasolina_98_e5,1.7204,30
2026-07-12,Teruel,glp,1.092,4
2026-07-12,Toledo,gasoleo_a,1.5859,241
2026-07-12,Toledo,gasoleo_premium,1.6777,117
2026-07-12,Toledo,gasolina_95_e5,1.5751,238
2026-07-12,Toledo,gasolina_98_e5,1.7705,119
2026-07-12,Toledo,glp,1.0272,29
2026-07-12,Valencia / València,gasoleo_a,1.5301,628
2026-07-12,Valencia / València,gasoleo_premium,1.6452,311
2026-07-12,Valencia / València,gasolina_95_e5,1.5369,613
2026-07-12,Valencia / València,gasolina_98_e5,1.758,281
2026-07-12,Valencia / València,glp,1.0127,49
2026-07-12,Valladolid,gasoleo_a,1.5741,151
2026-07-12,Valladolid,gasoleo_premium,1.6632,78
2026-07-12,Valladolid,gasolina_95_e5,1.5661,146
2026-07-12,Valladolid,gasolina_98_e5,1.7921,71
2026-07-12,Valladolid,glp,1.0507,17
